"","subject","sex_response","age_response","Comp_pn","Comp_gb","Warm_pn","Warm_gb","expComp","expWarm","valExplicit","steIAT","steIATodd","steIATeven","valIAT","valIATodd","valIATeven","sblock_order","block_order","warm_s","comp_s","stExplicit","warm_s1","comp_s1","stExplicit1","condition","mem_c_response","mem_w_response","ok","finish","finishok","nrspexp","expok","nrspiat","iatok","assignment","sIATorder","valenceIAT","valenceExplicit","warm_ok","comp_ok","cont_ok","imp","exp","zimp","zexp"
"1",9,"male",36,-1,-2,2,3,-1.5,2.5,4,0.3046,0.3941,0.2676,0.9147,1.0848,0.8214,"compf","compf",5,5,5,1,1,1,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.953633529284875,2.01340346544576,1,1,1,0.3046,1,0.838583938497365,0.711946602413365
"2",14,"male",56,-1,2,2,2,0.5,2,1.5,-0.9296,-0.9845,-1.131,0.0295,0.2022,-0.0953,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-1.32565786504427,0.524957342341978,1,1,1,-0.9296,-3,-1.35176332220434,-1.2944483680243
"3",15,"male",27,2,2,3,3,2,3,1,-0.9599,-0.9493,-0.956,0.85,0.6958,1.0088,"incompf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.787038236454898,0.227268117721222,1,1,1,-0.9599,-3,-1.40553703959152,-1.2944483680243
"4",19,"female",33,2,2,4,4,2,4,2,-0.3752,-0.2321,-0.6118,0.254,0.472,0.0782,"incompf","compf",3,3,3,-1,-1,-1,"niff_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",-0.747595372921704,0.822646566962734,0,0,0,-0.3752,-1,-0.367864017931913,-0.291250882805468
"5",20,"male",18,4,3,2,3,3.5,2.5,-1,-0.5317,-0.3944,-0.6691,0.7479,0.797,0.7642,"incompf","incompf",1,1,1,-3,-3,-3,"niff_w","they were paired with Niffites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",0.524142109747933,-0.963488780761801,1,0,0,-0.5317,-3,-0.645606155591787,-1.2944483680243
"6",21,"female",47,4,4,4,4,4,4,0,-0.7776,-0.6334,-1.0544,1.007,0.8728,1.1484,"compf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",1.19129574764974,-0.36811033152029,0,0,0,-0.7776,-3,-1.08200738019602,-1.2944483680243
"7",22,"female",26,3,3,2,2,3,2,-1,-0.3306,-0.5375,-0.0793,0.5959,0.5827,0.5971,"compf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.132759041584773,-0.963488780761801,0,0,0,-0.3306,-2,-0.288711945474211,-0.792849625414884
"8",26,"male",23,2,2,4,2,2,3,1,-0.5093,-0.1847,-0.7748,-0.496,-0.4623,-0.5351,"compf","incompf",6,3,4.5,2,-1,0.5,"niff_w","I don’t remember","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-2.67876182767414,0.227268117721222,0,0,0,-0.5093,0.5,-0.605852648348457,0.461147231108657
"9",30,"female",21,2,2,2,2,2,2,0,-0.4179,-0.2858,-0.73,0.3817,0.0396,0.5832,"compf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.418782097892523,-0.36811033152029,1,1,1,-0.4179,-2,-0.443644141114512,-0.792849625414884
"10",33,"male",22,3,4,4,3,3.5,3.5,0,0.7646,0.7461,0.8987,0.7358,1.0887,0.374,"compf","compf",6,6,6,2,2,2,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.492985957611261,-0.36811033152029,0,0,0,0.7646,2,1.65495060510147,1.21354534502278
"11",34,"female",22,3,2,4,3,2.5,3.5,1,-0.3664,-0.3713,-0.4447,0.4094,0.6058,0.2625,"compf","incompf",4,4,4,0,0,0,"niff_w","I don’t remember","I don’t remember",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.347457683496999,0.227268117721222,0,0,0,-0.3664,0,-0.352246568657748,0.210347859803949
"12",36,"male",36,4,4,4,4,4,4,0,-0.9923,-0.7911,-1.1807,0.4965,0.5021,0.4727,"incompf","incompf",4,4,4,0,0,0,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",-0.123184885885083,-0.36811033152029,1,0,0,-0.9923,0,-1.46303764828276,0.210347859803949
"13",37,"female",23,0,0,3,4,0,3.5,3.5,0.3259,0.3477,0.4168,1.0668,1.2138,0.9192,"compf","compf",4,4,4,0,0,0,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",1.34527408630867,1.715714240825,0,0,0,0.3259,0,0.876385264581425,0.210347859803949
"14",38,"female",37,4,4,3,3,4,3,-1,0.2466,0.2558,0.2577,-0.0305,0.0449,-0.0751,"compf","incompf",5,5,5,1,1,1,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-1.48015118142446,-0.963488780761801,0,0,0,0.2466,1,0.735650750099457,0.711946602413365
"15",39,"female",33,4,4,3,4,4,3.5,-0.5,-0.0504,0.1944,-0.3233,1.0356,0.9738,1.0993,"incompf","compf",4,4,4,0,0,0,"luup_w","I don’t remember","I don’t remember",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",1.26493756179097,-0.665799556141045,0,0,0,-0.0504,0,0.208561837096374,0.210347859803949
"16",43,"male",28,-1,-2,2,3,-1.5,2.5,4,0.5063,0.476,0.8526,0.8789,0.8027,1.0273,"incompf","compf",4,6,5,0,2,1,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",0.861452517178026,2.01340346544576,1,0,0,0.5063,1,1.19654297470182,0.711946602413365
"17",44,"male",21,3,3,3,3,3,3,0,0.1414,0.1002,0.19,0.2774,0.5936,-0.0649,"incompf","incompf",7,7,7,3,3,3,"niff_w","I don’t remember","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",-0.687342979533428,-0.36811033152029,1,0,0,0.1414,3,0.548951242867389,1.7151440876322
"18",45,"male",23,0,0,0,0,0,0,0,-0.307,-0.1289,-0.5346,0.661,0.8002,0.4736,"compf","compf",4,4,4,0,0,0,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.300384289857285,-0.36811033152029,0,0,0,-0.307,0,-0.246828786057131,0.210347859803949
"19",46,"female",21,4,3,4,4,3.5,4,0.5,0.1793,0.3019,0.0204,0.6265,0.5621,0.7114,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.211550632938672,-0.0704211068995337,1,1,1,0.1793,-3,0.616212757354987,-1.2944483680243
"20",48,"female",20,2,3,4,4,2.5,4,1.5,-0.1771,-0.2773,-0.0685,1.0218,0.9798,1.0929,"incompf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",1.22940409902352,0.524957342341978,0,1,0,-0.1771,-2,-0.0162939382487123,-0.792849625414884
"21",49,"male",19,3,3,3,3,3,3,0,0.1283,0.0617,0.3175,0.796,0.7291,0.8615,"compf","compf",6,2,4,2,-2,0,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.647994251712723,-0.36811033152029,1,1,1,0.1283,0,0.52570253997062,0.210347859803949
"22",54,"male",28,3,2,4,3,2.5,3.5,1,-0.4587,-0.4282,-0.5458,0.3879,0.6481,0.1503,"compf","incompf",6,5,5.5,2,1,1.5,"luup_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.402817788533236,0.227268117721222,0,0,0,-0.4587,1.5,-0.516052315022006,0.962745973718073
"23",56,"male",23,3,3,4,4,3,4,1,-0.0414,0.0933,-0.0362,0.987,0.9801,1.0219,"incompf","incompf",1,2,1.5,-3,-2,-2.5,"luup_w","they were paired with Niffites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",1.13979797552301,0.227268117721222,0,1,0,-0.0414,-2.5,0.224534228399498,-1.04364899671959
"24",57,"male",19,4,4,4,4,4,4,0,0.1072,-0.0154,0.2758,0.4301,0.5964,0.4246,"compf","compf",6,6,6,2,2,2,"niff_w","they were paired with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.294157489345832,-0.36811033152029,0,1,0,0.1072,2,0.488256155915518,1.21354534502278
"25",58,"female",23,3,3,4,4,3,4,1,0.0958,-0.0036,0.2557,1.1447,1.0189,1.262,"compf","incompf",7,7,7,3,3,3,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",1.54585790874229,0.227268117721222,0,0,0,0.0958,3,0.468024460264895,1.7151440876322
"26",61,"female",25,4,4,4,3,4,3.5,-0.5,0.3644,0.0591,0.5431,0.8009,0.9215,0.7856,"compf","compf",4,7,5.5,0,3,1.5,"luup_w","they were paired with Luupites names","I don’t remember",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.660611205883772,-0.665799556141045,0,0,0,0.3644,1.5,0.944711605155899,0.962745973718073
"27",63,"male",29,3,4,3,4,3.5,3.5,0,-0.0678,-0.1973,0.0368,-0.0305,-0.6095,0.2932,"incompf","compf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-1.48015118142446,-0.36811033152029,1,1,1,-0.0678,-2,0.177681880577001,-0.792849625414884
"28",68,"male",21,-1,-1,2,2,-1,2,3,0.1857,0.0406,0.3952,0.539,0.2479,0.936,"incompf","incompf",4,5,4.5,0,1,0.5,"niff_w","I don’t remember","I don’t remember",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",-0.0137521201157783,1.41802501620425,0,0,0,0.1857,0.5,0.627570902281653,0.461147231108657
"29",70,"male",20,4,4,4,4,4,4,0,0.7328,0.8707,0.64,0.475,0.5169,0.4395,"compf","incompf",4,4,4,0,0,0,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.17854499092132,-0.36811033152029,0,0,0,0.7328,0,1.5985148224971,0.210347859803949
"30",71,"female",34,1,-1,2,1,0,1.5,1.5,-0.2293,-0.4214,0.0286,1.0868,1.0441,1.2031,"incompf","compf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",1.3967718584354,0.524957342341978,0,0,0,-0.2293,-2,-0.10893380780683,-0.792849625414884
"31",72,"female",29,1,0,1,3,0.5,2,1.5,-0.0797,0.0152,-0.2087,0.4299,0.5696,0.4101,"incompf","incompf",3,3,3,-1,-1,-1,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-0.294672467067099,0.524957342341978,1,1,1,-0.0797,-1,0.156562829853982,-0.291250882805468
"32",73,"male",28,1,1,3,3,1,3,2,-0.7431,-0.5488,-1.1015,0.3181,0.4377,0.2783,"compf","compf",3,3,3,-1,-1,-1,"niff_w","I don’t remember","I don’t remember",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.582545013255529,0.822646566962734,0,0,0,-0.7431,-1,-1.02077988020072,-0.291250882805468
"33",75,"male",31,4,4,4,4,4,4,0,0.5757,0.4016,0.8186,0.3275,0.0751,0.5507,"incompf","compf",7,7,7,3,3,3,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",-0.558341060355965,-0.36811033152029,1,0,0,0.5757,3,1.31970785875035,1.7151440876322
"34",76,"male",27,0,0,2,2,0,2,2,-0.5257,-0.4492,-0.663,0.9702,0.9193,1.003,"incompf","incompf",2,2,2,-2,-2,-2,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",1.09653984693656,0.822646566962734,0,0,0,-0.5257,-2,-0.634957894723038,-0.792849625414884
"35",77,"female",22,2,2,-2,-2,2,-2,-4,-0.1156,-0.4375,0.2312,0.4389,0.7226,0.1595,"compf","compf",3,3,3,-1,-1,-1,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.27149846961007,-2.74962412848634,0,0,0,-0.1156,-1,0.0928507356559665,-0.291250882805468
"36",80,"male",25,3,3,4,3,3,3.5,0.5,0.1416,-0.2008,0.3901,0.6545,0.8357,0.5373,"incompf","incompf",3,2,2.5,-1,-2,-1.5,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.283647513916097,-0.0704211068995337,1,1,1,0.1416,-1.5,0.549306184896347,-0.542050254110176
"37",81,"female",48,3,3,3,3,3,3,0,-0.4231,-0.2313,-0.6193,0.892,0.8982,0.8831,"compf","compf",4,6,5,0,2,1,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.895183557921035,-0.36811033152029,1,1,1,-0.4231,1,-0.452872633867428,0.711946602413365
"38",86,"female",34,-4,-4,4,4,-4,4,8,0.1319,-0.0195,0.2615,1.064,1.0976,1.0511,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",1.33806439821093,4.3949172624118,1,1,1,0.1319,-3,0.532091496491869,-1.2944483680243
"39",92,"female",60,4,4,4,4,4,4,0,-0.141,-0.0507,-0.2469,0.5369,0.6136,0.4534,"incompf","incompf",6,4,5,2,0,1,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",-0.0191593861890851,-0.36811033152029,1,1,1,-0.141,1,0.0477730979782618,0.711946602413365
"40",94,"male",42,4,4,4,4,4,4,0,-0.9791,-0.772,-1.1813,0.1056,-0.1736,0.3663,"compf","incompf",1,7,4,-3,3,0,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-1.12970884210205,-0.36811033152029,1,1,1,-0.9791,0,-1.43961147437152,0.210347859803949
"41",99,"male",29,3,4,4,3,3.5,3.5,0,-0.1022,0.0957,-0.3471,0.5834,0.4775,0.6518,"incompf","compf",5,4,4.5,1,0,0.5,"niff_w","I don’t remember","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",0.100572934005566,-0.36811033152029,1,0,0,-0.1022,0.5,0.116631851596173,0.461147231108657
"42",101,"female",50,4,4,4,4,4,4,0,-0.2286,-0.2255,-0.3045,0.8929,0.7236,1.0768,"compf","compf",3,4,3.5,-1,0,-0.5,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.897500957666738,-0.36811033152029,0,0,0,-0.2286,-0.5,-0.107691510705476,-0.0404515115007594
"43",102,"female",18,4,3,3,2,3.5,2.5,-1,0.2977,0.2984,0.2951,0.1113,0.0676,0.2233,"compf","incompf",6,6,6,2,2,2,"luup_w","they were paired with Niffites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-1.11503197704593,-0.963488780761801,0,1,0,0.2977,2,0.826338438498304,1.21354534502278
"44",104,"female",18,3,4,2,4,3.5,3,-0.5,0.2942,-0.0491,0.4769,0.8623,0.9671,0.8649,"incompf","incompf",4,2,3,0,-2,-1,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.818709366312838,-0.665799556141045,1,1,1,0.2942,-1,0.820126952991534,-0.291250882805468
"45",106,"male",36,3,3,4,4,3,4,1,0.7225,0.6977,0.782,0.8814,0.8882,0.9098,"compf","incompf",4,4,4,0,0,0,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.867889738693867,0.227268117721222,0,0,0,0.7225,0,1.58023530800574,0.210347859803949
"46",108,"male",35,3,3,3,3,3,3,0,-0.5453,-0.8247,-0.2843,0.8483,0.8748,0.8655,"incompf","incompf",2,2,2,-2,-2,-2,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",0.782660925824126,-0.36811033152029,0,0,0,-0.5453,-2,-0.669742213560952,-0.792849625414884
"47",109,"male",22,3,3,3,3,3,3,0,-0.2006,0.1195,-0.7049,0.9972,1.2206,0.7337,"compf","compf",7,7,7,3,3,3,"luup_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",1.16606183930764,-0.36811033152029,0,0,0,-0.2006,3,-0.0579996266513132,1.7151440876322
"48",110,"female",25,1,1,4,3,1,3.5,2.5,-0.7607,-0.8887,-0.6601,0.7611,0.6962,0.8044,"compf","incompf",5,5,5,1,1,1,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.558130639351576,1.12033579158349,0,0,0,-0.7607,1,-1.05201477874905,0.711946602413365
"49",113,"male",35,3,3,3,3,3,3,0,0.9767,0.9356,1.1119,-0.056,-0.1283,0.0243,"compf","compf",7,7,7,3,3,3,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-1.54581084088604,-0.36811033152029,0,0,0,0.9767,3,2.03136662681175,1.7151440876322
"50",114,"female",32,2,0,4,2,1,3,2,-0.2855,-0.5264,-0.1304,0.1576,0.1111,0.2119,"compf","incompf",7,7,7,3,3,3,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.99581463457255,0.822646566962734,0,0,0,-0.2855,3,-0.208672517944114,1.7151440876322
"51",116,"female",28,3,3,2,2,3,2,-1,0.341,-0.1083,0.8041,0.8307,1.0868,0.7477,"incompf","incompf",3,3,3,-1,-1,-1,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",0.737342886352602,-0.963488780761801,0,0,0,0.341,-1,0.903183387767777,-0.291250882805468
"52",119,"female",29,2,2,3,3,2,3,1,-0.5661,-0.5576,-0.6529,0.8016,1.1434,0.4142,"incompf","compf",3,3,3,-1,-1,-1,"luup_w","they were paired with Niffites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.662413627908208,0.227268117721222,0,1,0,-0.5661,-1,-0.706656184572616,-0.291250882805468
"53",121,"female",30,1,1,1,2,1,1.5,0.5,0.3611,0.1328,0.5828,0.8772,0.9251,0.8243,"compf","compf",6,6,6,2,2,2,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.857075206547253,-0.0704211068995337,1,1,1,0.3611,2,0.938855061678087,1.21354534502278
"54",122,"female",23,-3,-3,3,3,-3,3,6,0.48,0.5835,0.4112,0.3572,0.251,0.3901,"compf","incompf",7,7,7,3,3,3,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.481866868747769,3.20416036392878,1,0,0,0.48,3,1.1498680978938,1.7151440876322
"55",127,"male",30,4,4,3,3,4,3,-1,0.2498,0.1875,0.2791,0.5933,0.5478,0.6377,"incompf","compf",6,6,6,2,2,2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.126064331208298,-0.963488780761801,1,1,1,0.2498,2,0.74132982256279,1.21354534502278
"56",128,"male",22,3,3,4,4,3,4,1,0.2646,0.1154,0.3954,0.6568,0.421,0.9544,"incompf","incompf",6,7,6.5,2,3,2.5,"luup_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.289569757710671,0.227268117721222,0,0,0,0.2646,2.5,0.767595532705704,1.46434471632749
"57",131,"male",48,1,1,3,3,1,3,2,-0.2154,-0.1734,-0.2527,0.7892,0.7417,0.835,"incompf","compf",4,4,4,0,0,0,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",0.630485009189634,0.822646566962734,0,0,0,-0.2154,0,-0.0842653367942277,0.210347859803949
"58",134,"male",41,2,0,4,2,1,3,2,-0.5807,-0.6634,-0.5988,0.2407,0.4526,0.1014,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.78184139138598,0.822646566962734,1,1,1,-0.5807,-3,-0.732566952686572,-1.2944483680243
"59",138,"female",31,2,2,4,3,2,3.5,1.5,0.2235,0.1541,0.2807,0.7262,0.7595,0.7344,"compf","incompf",6,6,6,2,2,2,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.468267026990429,0.524957342341978,1,1,1,0.2235,2,0.694654945754773,1.21354534502278
"60",140,"female",33,0,0,1,1,0,1,1,-0.7891,-0.8704,-0.7465,1.15,1.0237,1.2904,"incompf","incompf",1,1,1,-3,-3,-3,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",1.55950481835587,0.227268117721222,0,0,0,-0.7891,-3,-1.10241654686113,-1.2944483680243
"61",142,"female",25,2,2,3,3,2,3,1,-0.4395,-0.7483,-0.1275,0.7067,0.9513,0.2121,"compf","incompf",3,3,3,-1,-1,-1,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.418056699166866,0.227268117721222,1,1,1,-0.4395,-1,-0.481977880242009,-0.291250882805468
