"","subject","sex_response","age_response","Comp_pn","Comp_gb","Warm_pn","Warm_gb","expComp","expWarm","valExplicit","steIAT","steIATodd","steIATeven","valIAT","valIATodd","valIATeven","sblock_order","block_order","warm_s","comp_s","stExplicit","warm_s1","comp_s1","stExplicit1","condition","mem_c_response","mem_w_response","ok","finish","finishok","nrspexp","expok","nrspiat","iatok","assignment","sIATorder","valenceIAT","valenceExplicit","warm_ok","comp_ok","cont_ok","imp","exp","zimp","zexp"
"62",147,"male",40,4,4,2,2,4,2,-2,0.5071,0.4368,0.6842,-0.0605,0.104,-0.3094,"incompf","compf",7,7,7,3,3,3,"niff_w","I don’t remember","I don’t remember",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",-1.55739783961456,-1.55886723000331,0,0,0,0.5071,3,1.19796274281765,1.7151440876322
"63",153,"female",21,4,4,3,4,4,3.5,-0.5,0.4932,0.7984,0.2741,0.4004,0.5342,0.309,"compf","compf",7,7,7,3,3,3,"niff_w","they were paired with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.370631680954028,-0.665799556141045,0,1,0,0.4932,3,1.17329427180505,1.7151440876322
"64",157,"female",44,4,4,4,4,4,4,0,-1.3696,-1.1606,-1.5981,0.296,0.4921,0.1945,"compf","compf",7,1,4,3,-3,0,"luup_w","I don’t remember","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.639450051455568,-0.36811033152029,0,0,0,-1.3696,0,-2.13263578591261,0.210347859803949
"65",158,"male",58,3,4,4,4,3.5,4,0.5,-0.9551,-0.9364,-1.2583,0.8438,0.8547,0.8283,"compf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.771073927095611,-0.0704211068995337,1,1,1,-0.9551,-2,-1.39701843089652,-0.792849625414884
"66",162,"female",28,3,3,3,3,3,3,0,0.5965,0.6804,0.5438,0.8758,1.1225,0.8773,"compf","incompf",5,6,5.5,1,2,1.5,"niff_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.853470362498382,-0.36811033152029,0,0,0,0.5965,1.5,1.35662182976201,0.962745973718073
"67",165,"female",29,2,3,4,4,2.5,4,1.5,-0.5137,-0.4021,-0.7679,0.2199,0.1476,0.3415,"compf","compf",3,3,3,-1,-1,-1,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.835399074397781,0.524957342341978,0,0,0,-0.5137,-1,-0.61366137298554,-0.291250882805468
"68",167,"female",63,3,3,3,3,3,3,0,-0.6734,-0.7218,-0.8923,0.5469,0.3277,0.8946,"incompf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.00658949987428078,-0.36811033152029,0,0,0,-0.6734,-3,-0.897082583108746,-1.2944483680243
"69",169,"female",21,2,2,2,2,2,2,0,-0.7483,-0.7181,-0.9165,0.2577,0.3187,0.1993,"compf","compf",6,6,6,2,2,2,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.738068285078259,-0.36811033152029,0,0,0,-0.7483,2,-1.03000837295363,1.21354534502278
"70",173,"female",56,3,4,4,4,3.5,4,0.5,-1.1351,-1.0266,-1.271,0.9295,0.9738,0.9243,"compf","compf",3,2,2.5,-1,-2,-1.5,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.991741880658656,-0.0704211068995337,0,0,0,-1.1351,-1.5,-1.71646625695899,-0.542050254110176
"71",174,"female",32,1,1,4,4,1,4,3,-0.1812,-0.2773,0.1058,0.6938,1.0664,0.5807,"compf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.384840636145124,1.41802501620425,1,1,1,-0.1812,-2,-0.0235702498423576,-0.792849625414884
"72",175,"male",30,-1,0,1,0,-0.5,0.5,1,0.3575,0.5026,0.2472,-0.1524,-0.121,-0.0932,"incompf","compf",5,4,4.5,1,0,0.5,"luup_w","they were paired with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-1.79403010253689,0.227268117721222,0,0,0,0.3575,0.5,0.932466105156837,0.461147231108657
"73",178,"male",26,-1,1,1,1,0,1,1,0.5167,0.3461,0.741,0.2765,0.2655,0.2968,"compf","incompf",2,6,4,-2,2,0,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.689660379279131,0.227268117721222,0,0,0,0.5167,0,1.21499996020765,0.210347859803949
"74",181,"male",32,2,3,3,3,2.5,3,0.5,-0.4692,-0.5067,-0.3762,0.3512,-0.0163,0.8522,"compf","compf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.497316200385788,-0.0704211068995337,1,1,1,-0.4692,-2,-0.534686771542317,-0.792849625414884
"75",183,"male",28,4,4,4,4,4,4,0,-1.292,-1.2299,-1.4198,0.3802,0.4695,0.3002,"incompf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-0.422644430802027,-0.36811033152029,1,1,1,-1.292,-3,-1.99491827867678,-1.2944483680243
"76",184,"male",32,2,2,4,4,2,4,2,-0.647,-0.9529,-0.3853,-0.1286,0.0346,-0.3028,"incompf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-1.73274775370608,0.822646566962734,1,1,1,-0.647,-2,-0.85023023528625,-0.792849625414884
"77",186,"male",25,3,3,2,2,3,2,-1,0.9772,0.9597,1.2376,0.3638,0.3513,0.4997,"compf","incompf",6,6,6,2,2,2,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.464872603945947,-0.963488780761801,0,0,0,0.9772,2,2.03225398188415,1.21354534502278
"78",187,"male",27,3,2,-2,0,2.5,-1,-3.5,-0.0686,-0.1549,0.063,1.2273,1.2093,1.2319,"incompf","compf",7,7,7,3,3,3,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",1.75854370762569,-2.45193490386558,1,1,1,-0.0686,3,0.176262112461168,1.7151440876322
"79",190,"male",22,3,1,4,3,2,3.5,1.5,0.9647,1.1765,0.701,1.0651,1.291,0.876,"compf","incompf",7,7,7,3,3,3,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",1.3408967756779,0.524957342341978,0,0,0,0.9647,3,2.01007010507425,1.7151440876322
"80",192,"female",20,1,1,2,2,1,2,1,-0.3815,-0.5371,-0.1199,0.7194,0.7862,0.6992,"incompf","incompf",1,3,2,-3,-1,-2,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.450757784467341,0.227268117721222,0,0,0,-0.3815,-2,-0.3790446918441,-0.792849625414884
"81",196,"female",20,2,3,4,4,2.5,4,1.5,-0.1157,-0.5291,0.2887,0.7487,0.6864,0.856,"incompf","incompf",1,1,1,-3,-3,-3,"niff_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",0.526202020633003,0.524957342341978,0,0,0,-0.1157,-3,0.0926732646414874,-1.2944483680243
"82",197,"male",59,4,4,4,4,4,4,0,-1.2812,-1.3707,-1.3889,1.0084,1.0788,0.9695,"compf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",1.19490059169861,-0.36811033152029,1,1,1,-1.2812,-3,-1.97575140911304,-1.2944483680243
"83",200,"female",27,2,3,2,3,2.5,2.5,0,-0.422,-0.5473,-0.3341,0.4511,0.3118,0.6018,"incompf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-0.240084828612764,-0.36811033152029,1,1,1,-0.422,-3,-0.450920452708157,-1.2944483680243
"84",206,"male",21,1,1,3,3,1,3,2,-0.3585,-0.3248,-0.359,0.2831,-0.0178,0.6065,"compf","incompf",4,4,4,0,0,0,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.672666114477309,0.822646566962734,1,1,1,-0.3585,0,-0.338226358513895,0.210347859803949
"85",213,"female",21,2,3,2,2,2.5,2,-0.5,-0.3433,-0.2652,-0.4068,0.7187,0.6443,0.8416,"compf","compf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.448955362442905,-0.665799556141045,1,1,1,-0.3433,-2,-0.311250764313064,-0.792849625414884
"86",214,"female",26,4,4,4,4,4,4,0,0.3896,0.3331,0.6175,0.8965,0.9946,0.9138,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.906770556649549,-0.36811033152029,1,1,1,0.3896,-3,0.989434300804645,-1.2944483680243
"87",219,"female",30,1,2,-2,-1,1.5,-1.5,-3,0.2481,0.3673,0.1122,1.0477,1.0829,1.2107,"incompf","compf",4,2,3,0,-2,-1,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",1.29609371392764,-2.15424567924482,1,1,1,0.2481,-1,0.738312815316644,-0.291250882805468
"88",220,"female",20,4,4,4,4,4,4,0,0.2125,0.2772,0.1335,0.4994,0.3894,0.6676,"incompf","incompf",6,4,5,2,0,1,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",-0.115717708926707,-0.36811033152029,0,0,0,0.2125,1,0.675133134162066,0.711946602413365
"89",223,"female",47,2,2,3,3,2,3,1,-1.4817,-1.3739,-1.6805,0.3209,0.2515,0.4183,"incompf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-0.575335325157787,0.227268117721222,0,0,0,-1.4817,-3,-2.33158079314374,-1.2944483680243
"90",224,"female",41,2,2,3,3,2,3,1,-1.1951,-1.139,-1.294,0.3353,0.5685,0.4525,"incompf","incompf",3,2,2.5,-1,-2,-1.5,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-0.53825692922654,0.227268117721222,1,1,1,-1.1951,-1.5,-1.82294886564649,-0.542050254110176
"91",226,"male",52,0,0,4,4,0,4,4,-1.0366,-0.9901,-1.0826,0.7672,0.5152,1.058,"compf","incompf",4,3,3.5,0,-1,-0.5,"niff_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.573837459850229,2.01340346544576,0,0,0,-1.0366,-0.5,-1.54165730769703,-0.0404515115007594
"92",230,"female",20,4,4,3,4,4,3.5,-0.5,-0.3315,-0.143,-0.4798,0.1169,0.0123,0.1457,"compf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-1.10061260085045,-0.665799556141045,1,1,1,-0.3315,-2,-0.290309184604524,-0.792849625414884
"93",231,"female",30,2,0,3,3,1,3,2,-0.4912,-0.2103,-0.8473,0.9902,0.955,1.0638,"incompf","compf",4,4,4,0,0,0,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",1.14803761906329,0.822646566962734,0,0,0,-0.4912,0,-0.57373039472773,0.210347859803949
"94",239,"male",20,-1,2,3,3,0.5,3,2.5,-0.4559,-0.5511,-0.3536,0.6417,0.4982,0.7993,"incompf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.250688939754989,1.12033579158349,1,1,1,-0.4559,-3,-0.51108312661659,-1.2944483680243
"95",244,"male",47,4,4,3,3,4,3,-1,0.0069,0.1291,-0.0886,-0.2219,0.0352,-0.4436,"incompf","incompf",4,4,4,0,0,0,"niff_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",-1.97298486067728,-0.963488780761801,0,0,0,0.0069,0,0.310252728392928,0.210347859803949
"96",245,"female",55,3,3,3,3,3,3,0,-0.6058,-0.3229,-1.2147,0.7535,0.8229,0.6516,"compf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.538561485943418,-0.36811033152029,1,1,1,-0.6058,-3,-0.777112177320839,-1.2944483680243
"97",246,"female",20,-2,4,4,4,1,4,3,-0.4488,-0.3075,-0.6693,0.3333,0.3405,0.4234,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.543406706439213,1.41802501620425,0,0,0,-0.4488,-3,-0.49848268458857,-1.2944483680243
"98",248,"male",31,-1,-1,3,3,-1,3,4,-0.6718,-0.7539,-0.7481,0.2797,0.3415,0.2239,"incompf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-0.681420735738854,2.01340346544576,0,0,0,-0.6718,-2,-0.89424304687708,-0.792849625414884
"99",250,"female",47,4,4,4,4,4,4,0,-0.3715,-0.2545,-0.496,0.2471,0.0803,0.3957,"compf","incompf",1,1,1,-3,-3,-3,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.765362104305426,-0.36811033152029,0,0,0,-0.3715,-3,-0.361297590396185,-1.2944483680243
"100",252,"female",21,-1,1,4,4,0,4,4,-0.3433,-0.4196,-0.3452,0.5872,0.6715,0.5709,"incompf","incompf",2,2,2,-2,-2,-2,"niff_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",0.110357510709645,2.01340346544576,0,0,0,-0.3433,-2,-0.311250764313064,-0.792849625414884
"101",254,"male",46,2,2,3,3,2,3,1,-0.3791,-0.2457,-0.4939,0.8205,0.8167,0.8244,"compf","incompf",4,2,3,0,-2,-1,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.711079022567969,0.227268117721222,0,0,0,-0.3791,-1,-0.3747853874966,-0.291250882805468
"102",257,"female",22,-3,-3,3,3,-3,3,6,0.2004,-0.0407,0.4309,0.8505,0.9847,0.8108,"compf","compf",1,6,3.5,-3,2,-0.5,"niff_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.788325680758067,3.20416036392878,0,0,0,0.2004,-0.5,0.653659141410089,-0.0404515115007594
"103",258,"female",30,2,2,4,4,2,4,2,-0.3915,-0.2833,-0.5933,0.4477,0.4897,0.4283,"compf","incompf",4,4,4,0,0,0,"niff_w","I don’t remember","I don’t remember",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.248839449874308,0.822646566962734,0,0,0,-0.3915,0,-0.396791793292015,0.210347859803949
"104",263,"female",57,4,4,4,4,4,4,0,-1.4735,-1.5347,-1.3979,1.0945,0.9991,1.2225,"incompf","compf",1,2,1.5,-3,-2,-2.5,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",1.41659850070419,-0.36811033152029,1,1,1,-1.4735,-2.5,-2.31702816995645,-1.04364899671959
"105",265,"female",46,4,4,4,4,4,4,0,-0.5749,-0.4511,-0.7213,-0.112,0.2776,-0.4428,"compf","compf",7,7,7,3,3,3,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-1.69000460284089,-0.36811033152029,1,1,1,-0.5749,3,-0.722273633846781,1.7151440876322
"106",268,"female",40,1,0,4,4,0.5,4,3.5,-0.0011,0.0896,-0.0841,0.8925,1.0145,0.7618,"incompf","incompf",7,5,6,3,1,2,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",0.896471002224203,1.715714240825,0,0,0,-0.0011,2,0.296055047234596,1.21354534502278
"107",269,"male",47,3,3,3,3,3,3,0,-0.1446,-0.2755,-0.0678,0.2849,0.556,-0.1546,"compf","compf",6,6,6,2,2,2,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.668031314985904,-0.36811033152029,0,0,0,-0.1446,2,0.0413841414570123,1.21354534502278
"108",271,"female",33,3,2,4,4,2.5,4,1.5,-1.0951,-1.1298,-1.1346,0.7,0.6844,0.6974,"incompf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.400804945504411,0.524957342341978,0,0,0,-1.0951,-3,-1.64547785116733,-1.2944483680243
"109",273,"male",20,2,2,4,4,2,4,2,-0.9153,-0.6985,-1.0922,0.5689,0.9848,0.5372,"compf","compf",4,4,4,0,0,0,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.0632370492136853,0.822646566962734,1,0,0,-0.9153,0,-1.32638496713382,0.210347859803949
"110",274,"female",18,1,1,2,2,1,2,1,-0.0021,0.1004,-0.1706,0.8024,0.55,1.0246,"compf","incompf",6,6,6,2,2,2,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.664473538793277,0.227268117721222,1,1,1,-0.0021,2,0.294280337089805,1.21354534502278
"111",275,"male",34,3,3,3,3,3,3,0,-0.2048,-0.4059,0.0214,0.1732,0.4317,0.0027,"incompf","compf",4,4,4,0,0,0,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",-0.9556463723137,-0.36811033152029,0,0,0,-0.2048,0,-0.0654534092594376,0.210347859803949
"112",277,"female",37,3,3,4,4,3,4,1,-0.6693,-0.6355,-0.8235,0.7324,0.7886,0.6971,"compf","compf",3,3,3,-1,-1,-1,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.484231336349716,0.227268117721222,1,1,1,-0.6693,-1,-0.889806271515101,-0.291250882805468
"113",279,"female",27,2,2,4,4,2,4,2,-0.5242,-0.5399,-0.5171,0.7718,0.8323,0.7185,"incompf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.585681947439378,0.822646566962734,1,1,1,-0.5242,-3,-0.632295829505851,-1.2944483680243
"114",280,"female",63,2,3,3,3,2.5,3,0.5,-0.5748,-0.4251,-0.7026,0.7287,0.9906,0.4916,"incompf","incompf",4,4,4,0,0,0,"luup_w","I don’t remember","I don’t remember",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.474704248506271,-0.0704211068995337,0,0,0,-0.5748,0,-0.722096162832302,0.210347859803949
"115",282,"female",29,4,4,4,4,4,4,0,-0.8483,-1.0476,-0.636,0.3172,-0.3767,0.7504,"compf","incompf",4,7,5.5,0,3,1.5,"niff_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.584862413001232,-0.36811033152029,0,0,0,-0.8483,1.5,-1.20747938743278,0.962745973718073
"116",283,"female",23,4,4,4,4,4,4,0,0.9788,0.7987,1.2063,0.5516,0.5451,0.5503,"incompf","compf",7,7,7,3,3,3,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",0.0186914763240625,-0.36811033152029,1,1,1,0.9788,3,2.03509351811581,1.7151440876322
"117",285,"male",30,4,4,3,3,4,3,-1,-0.2813,-0.4625,-0.1761,0.7244,0.7566,0.73,"compf","compf",4,3,3.5,0,-1,-0.5,"luup_w","they were paired with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.463632227499024,-0.963488780761801,0,0,0,-0.2813,-0.5,-0.201218735335989,-0.0404515115007594
"118",286,"male",18,3,3,3,3,3,3,0,-0.3526,-0.569,-0.0644,0.5836,0.7108,0.5117,"compf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.101087911726833,-0.36811033152029,1,1,1,-0.3526,-2,-0.327755568659625,-0.792849625414884
"119",287,"male",20,2,4,3,3,3,3,0,-0.6212,-0.3584,-0.9848,0.2277,0.259,0.2147,"incompf","compf",1,2,1.5,-3,-2,-2.5,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-0.815314943268356,-0.36811033152029,1,1,1,-0.6212,-2.5,-0.804442713550629,-1.04364899671959
"120",292,"male",50,3,3,3,3,3,3,0,-0.552,-0.8258,-0.2328,0.6806,0.6986,0.6867,"incompf","incompf",1,1,1,-3,-3,-3,"niff_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",0.350852106541481,-0.36811033152029,0,0,0,-0.552,-3,-0.681632771531055,-1.2944483680243
"121",294,"female",20,-2,-2,3,2,-2,2.5,4.5,-0.0227,-0.2005,0.1856,0.5211,0.4148,0.7703,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.0598426261692031,2.31109269006651,1,1,1,-0.0227,-3,0.257721308107099,-1.2944483680243
"122",295,"male",24,3,3,3,3,3,3,0,-0.6851,-0.6166,-0.8095,-0.3545,-0.3781,-0.3682,"incompf","compf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-2.31441508987751,-0.36811033152029,0,1,0,-0.6851,-2,-0.917846691802807,-0.792849625414884
"123",297,"male",27,3,3,3,3,3,3,0,0.4977,0.6238,0.3475,0.4552,0.4321,0.6831,"compf","compf",6,6,6,2,2,2,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.229527785326784,-0.36811033152029,1,1,1,0.4977,2,1.18128046745661,1.21354534502278
