"","subject","sex_response","age_response","Comp_pn","Comp_gb","Warm_pn","Warm_gb","expComp","expWarm","valExplicit","steIAT","steIATodd","steIATeven","valIAT","valIATodd","valIATeven","sblock_order","block_order","warm_s","comp_s","stExplicit","warm_s1","comp_s1","stExplicit1","condition","mem_c_response","mem_w_response","ok","finish","finishok","nrspexp","expok","nrspiat","iatok","assignment","sIATorder","valenceIAT","valenceExplicit","warm_ok","comp_ok","cont_ok","imp","exp","zimp","zexp"
"124",299,"male",33,3,3,2,2,3,2,-1,-0.0846,0.1028,-0.3504,0.0457,-0.2403,0.2073,"incompf","compf",5,5,5,1,1,1,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",-1.28394466962161,-0.963488780761801,1,1,1,-0.0846,1,0.147866750144504,0.711946602413365
"125",301,"male",25,4,4,2,2,4,2,-2,0.2812,0.2927,0.2958,0.1725,0.1052,0.2175,"compf","compf",6,6,6,2,2,2,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.957448794338135,-1.55886723000331,0,0,0,0.2812,2,0.797055721109244,1.21354534502278
"126",302,"female",40,4,4,4,4,4,4,0,-1.3055,-1.2364,-1.3813,0.9392,0.9127,0.9616,"compf","incompf",2,4,3,-2,0,-1,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",1.01671830014012,-0.36811033152029,1,1,1,-1.3055,-1,-2.01887686563147,-0.291250882805468
"127",305,"male",21,4,4,4,4,4,4,0,-0.4002,-0.3158,-0.514,0.2317,-0.0757,0.633,"compf","compf",1,1,1,-3,-3,-3,"niff_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.80501538884301,-0.36811033152029,0,0,0,-0.4002,-3,-0.412231771551702,-1.2944483680243
"128",309,"male",31,2,2,2,2,2,2,0,-0.2445,-0.1941,-0.2597,-0.5193,-0.2233,-0.9171,"compf","compf",3,4,3.5,-1,0,-0.5,"luup_w","I don’t remember","I don’t remember",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-2.73875673220178,-0.36811033152029,0,0,0,-0.2445,-0.5,-0.135909402007661,-0.0404515115007594
"129",310,"male",23,1,-1,3,3,0,3,3,0.0193,0.0529,-0.0632,0.5069,0.6551,0.3737,"compf","incompf",4,4,4,0,0,0,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.0964060443791825,1.41802501620425,0,0,0,0.0193,0,0.332259134188343,0.210347859803949
"130",311,"female",29,4,4,3,3,4,3,-1,-0.1061,0.0236,-0.2216,1.0292,1.0792,0.9672,"incompf","compf",2,1,1.5,-2,-3,-2.5,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",1.24845827471041,-0.963488780761801,1,1,1,-0.1061,-2.5,0.109710482031486,-1.04364899671959
"131",312,"male",35,3,3,0,1,3,0.5,-2.5,-0.8581,-0.9361,-0.8625,0.4674,0.6675,0.3409,"incompf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-0.198114144329478,-1.85655645462407,1,1,1,-0.8581,-2,-1.22487154685174,-0.792849625414884
"132",315,"male",20,2,2,3,3,2,3,1,0.2941,0.3044,0.3074,0.4914,0.3431,0.7222,"incompf","compf",6,5,5.5,2,1,1.5,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",-0.1363168177774,0.227268117721222,1,1,1,0.2941,1.5,0.819949481977054,0.962745973718073
"133",316,"male",20,3,4,3,4,3.5,3.5,0,-0.6732,-0.89,-0.4745,0.3462,0.6952,0.0254,"incompf","incompf",1,1,1,-3,-3,-3,"niff_w","they were paired with Niffites names and with Luupites names","I don’t remember",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",-0.510190643417471,-0.36811033152029,0,0,0,-0.6732,-3,-0.896727641079788,-1.2944483680243
"134",319,"female",22,3,3,3,3,3,3,0,-0.3438,-0.3503,-0.4007,0.8502,0.9108,0.8975,"incompf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.787553214176165,-0.36811033152029,0,0,0,-0.3438,-3,-0.31213811938546,-1.2944483680243
"135",320,"female",63,4,4,4,4,4,4,0,-0.3399,-0.6211,-0.6158,0.773,0.679,0.9589,"incompf","incompf",4,4,4,0,0,0,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.588771813766982,-0.36811033152029,1,0,0,-0.3399,0,-0.305216749820773,0.210347859803949
"136",321,"female",48,3,3,3,3,3,3,0,0.8746,1.0462,0.8574,0.1759,0.3315,0.3297,"compf","compf",6,6,6,2,2,2,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.948694173076591,-0.36811033152029,1,1,1,0.8746,2,1.85016872102854,1.21354534502278
"137",322,"female",37,-2,-2,2,2,-2,2,4,-0.0537,-0.2409,0.1088,0.4676,0.3391,0.5664,"compf","incompf",3,3,3,-1,-1,-1,"niff_w","I don’t remember","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.19759916660821,2.01340346544576,0,0,0,-0.0537,-1,0.202705293618562,-0.291250882805468
"138",324,"female",28,0,0,1,2,0,1.5,1.5,-0.4619,-0.6327,-0.322,1.0479,0.8458,1.2439,"incompf","incompf",1,1,1,-3,-3,-3,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",1.29660869164891,0.524957342341978,0,0,0,-0.4619,-3,-0.521731387485339,-1.2944483680243
"139",326,"female",43,2,2,4,4,2,4,2,-0.2844,-0.2377,-0.3495,0.7103,0.7048,0.779,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.427326298149678,0.822646566962734,1,1,1,-0.2844,-3,-0.206720336784843,-1.2944483680243
"140",329,"female",21,1,2,4,3,1.5,3.5,2,-0.1414,0.0219,-0.3237,0.7311,0.672,0.8453,"compf","compf",6,6,6,2,2,2,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.480883981161479,0.822646566962734,0,0,0,-0.1414,2,0.0470632139203452,1.21354534502278
"141",330,"female",40,4,4,4,4,4,4,0,0.8301,1.0018,0.7639,0.342,-0.1687,0.726,"compf","incompf",7,7,7,3,3,3,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.521005175564085,-0.36811033152029,0,0,0,0.8301,3,1.77119411958531,1.7151440876322
"142",331,"male",21,4,4,3,4,4,3.5,-0.5,-0.5634,-0.4747,-0.6777,0.9557,1.123,0.7564,"incompf","compf",2,1,1.5,-2,-3,-2.5,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",1.05920396214467,-0.665799556141045,0,0,0,-0.5634,-2.5,-0.701864467181679,-1.04364899671959
"143",333,"male",44,4,4,2,3,4,2.5,-1.5,-0.674,-0.6038,-0.7427,0.075,0.036,0.0964,"compf","compf",4,4,4,0,0,0,"luup_w","they were paired with Niffites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-1.20850043345595,-1.26117800538256,0,1,0,-0.674,0,-0.898147409195622,0.210347859803949
"144",334,"female",57,4,4,4,4,4,4,0,-0.0947,0.1702,-0.4235,0.6722,0.4243,0.9333,"compf","incompf",5,5,5,1,1,1,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.329223042248254,-0.36811033152029,0,0,0,-0.0947,1,0.129942177682109,0.711946602413365
"145",344,"male",38,3,3,4,4,3,4,1,-0.7392,-0.7817,-0.7219,0.5,0.7513,0.3606,"incompf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-0.114172775762905,0.227268117721222,0,0,0,-0.7392,-2,-1.01385851063603,-0.792849625414884
"146",345,"female",21,3,3,4,4,3,4,1,-0.0579,-0.3438,0.2571,0.994,1.0947,0.9103,"compf","compf",7,7,7,3,3,3,"niff_w","I don’t remember","I don’t remember",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",1.15782219576737,0.227268117721222,0,0,0,-0.0579,3,0.195251511010438,1.7151440876322
"147",348,"female",22,3,2,3,3,2.5,3,0.5,0.0093,0.0734,-0.2185,0.7655,0.7557,0.7719,"incompf","incompf",3,5,4,-1,1,0,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",0.569460149219457,-0.0704211068995337,0,0,0,0.0093,0,0.314512032740428,0.210347859803949
"148",349,"male",27,3,3,3,3,3,3,0,-0.5498,-0.3172,-0.6909,1.3419,1.3048,1.3726,"compf","compf",4,4,4,0,0,0,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",2.05362594191186,-0.36811033152029,0,0,0,-0.5498,0,-0.677728409212514,0.210347859803949
"149",352,"male",33,3,3,0,0,3,0,-3,0.4874,0.1569,0.7667,-1.0911,-1.2391,-0.9442,"incompf","incompf",4,4,4,0,0,0,"luup_w","I don’t remember","I don’t remember",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-4.21107803730504,-2.15424567924482,0,0,0,0.4874,0,1.16300095296526,0.210347859803949
"150",353,"female",24,-2,-2,3,3,-2,3,5,-0.1817,0.1361,-0.4841,0.8944,1.0871,0.6693,"compf","compf",5,5,5,1,1,1,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.901363290576242,2.60878191468727,1,1,1,-0.1817,1,-0.0244576049147533,0.711946602413365
"151",357,"male",21,4,4,3,3,4,3,-1,0.8784,0.6492,1.0781,0.3856,0.3357,0.4575,"compf","compf",4,7,5.5,0,3,1.5,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.40874003232781,-0.963488780761801,0,0,0,0.8784,1.5,1.85691261957874,0.962745973718073
"152",360,"male",38,4,4,4,4,4,4,0,0.3317,0.3632,0.1785,0.177,0.1567,0.2447,"incompf","incompf",7,2,4.5,3,-2,0.5,"luup_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-0.945861795609621,-0.36811033152029,0,0,0,0.3317,0.5,0.886678583421216,0.461147231108657
"153",361,"female",21,4,4,4,4,4,4,0,0.6751,0.599,0.923,0.2336,0.4457,0.1815,"compf","compf",2,2,2,-2,-2,-2,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.80012310049097,-0.36811033152029,0,0,0,0.6751,-2,1.49611404714263,-0.792849625414884
"154",362,"female",42,3,3,3,3,3,3,0,-0.5094,-0.6378,-0.4449,0.4695,0.2862,0.642,"compf","incompf",2,2,2,-2,-2,-2,"niff_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.192706878256171,-0.36811033152029,0,0,0,-0.5094,-2,-0.606030119362936,-0.792849625414884
"155",363,"female",29,3,4,4,4,3.5,4,0.5,-0.6332,-0.8805,-0.4224,0.3909,0.4699,0.3916,"incompf","compf",1,1,1,-3,-3,-3,"niff_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",-0.395093122714226,-0.0704211068995337,0,0,0,-0.6332,-3,-0.825739235288127,-1.2944483680243
"156",366,"male",33,0,3,3,3,1.5,3,1.5,-0.912,-0.7203,-1.1281,0.9121,0.9403,0.8782,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.9469388189084,0.524957342341978,1,1,1,-0.912,-3,-1.320528423656,-1.2944483680243
"157",367,"male",41,4,4,4,4,4,4,0,-0.4213,-0.2337,-0.6083,0.1101,0.2529,-0.0327,"incompf","compf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-1.11812184337354,-0.36811033152029,0,0,0,-0.4213,-2,-0.449678155606803,-0.792849625414884
"158",368,"female",34,4,4,4,4,4,4,0,-0.3311,-0.279,-0.3404,0.4577,0.3094,0.7683,"incompf","incompf",3,3,3,-1,-1,-1,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-0.223090563810942,-0.36811033152029,0,0,0,-0.3311,-1,-0.289599300546607,-0.291250882805468
"159",370,"female",55,4,4,4,4,4,4,0,1.2985,1.2099,1.3726,0.943,0.7588,1.0947,"compf","incompf",6,6,6,2,2,2,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",1.0265028768442,-0.36811033152029,1,1,1,1.2985,2,2.60246835140566,1.21354534502278
"160",373,"female",28,1,1,2,2,1,2,1,-0.7458,-0.5171,-1.1424,0.3429,0.7193,0.1609,"compf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.518687775818382,0.227268117721222,1,1,1,-0.7458,-3,-1.02557159759165,-1.2944483680243
"161",374,"female",49,2,3,3,3,2.5,3,0.5,-0.6597,-0.7638,-0.5631,0.7189,0.6723,0.7576,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.449470340164172,-0.0704211068995337,1,1,1,-0.6597,-3,-0.872769054125102,-1.2944483680243
"162",376,"female",18,-2,-2,2,2,-2,2,4,0.1645,0.276,0.0861,0.2177,0.1656,0.23,"incompf","incompf",2,2,2,-2,-2,-2,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-0.841063829331722,2.01340346544576,1,1,1,0.1645,-2,0.589947047212073,-0.792849625414884
"163",378,"female",38,1,2,3,3,1.5,3,1.5,1.0575,0.9392,1.1571,1.3116,1.2285,1.3775,"compf","incompf",7,7,7,3,3,3,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",1.97560681713986,0.524957342341978,0,0,0,1.0575,3,2.17476320651091,1.7151440876322
"164",380,"male",63,2,2,4,3,2,3.5,1.5,-1.1799,-1.289,-1.1149,0.4271,0.238,0.6259,"incompf","incompf",1,1,1,-3,-3,-3,"niff_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",-0.301882155164842,0.524957342341978,0,0,0,-1.1799,-3,-1.79597327144565,-1.2944483680243
"165",386,"male",49,3,3,3,3,3,3,0,-0.2587,-0.414,-0.1052,0.4251,0.1201,0.6964,"compf","incompf",2,2,2,-2,-2,-2,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-0.307031932377515,-0.36811033152029,1,1,1,-0.2587,-2,-0.161110286063701,-0.792849625414884
"166",387,"male",35,4,3,4,3,3.5,3.5,0,0.1254,0.1883,0.2216,-0.0935,-0.1886,0.0607,"incompf","compf",4,4,4,0,0,0,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",-1.64236916362367,-0.36811033152029,1,1,1,0.1254,0,0.520555880550724,0.210347859803949
"167",388,"male",51,3,4,0,2,3.5,1,-2.5,-0.535,-0.0901,-0.9774,0.6966,0.5875,0.7784,"incompf","incompf",1,1,1,-3,-3,-3,"niff_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",0.392050324242867,-1.85655645462407,0,0,0,-0.535,-3,-0.651462699069599,-1.2944483680243
"168",402,"male",25,3,3,4,4,3,4,1,-0.1748,0.0731,-0.543,0.5526,0.5016,0.6338,"compf","incompf",5,4,4.5,1,0,0.5,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.0212663649303991,0.227268117721222,0,0,0,-0.1748,0.5,-0.0122121049156918,0.461147231108657
"169",403,"female",49,4,4,4,4,4,4,0,0.7023,0.6615,0.8417,0.7862,0.6385,0.934,"incompf","compf",7,7,7,3,3,3,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",0.622760343370624,-0.36811033152029,0,0,0,0.7023,3,1.54438616308096,1.7151440876322
"170",404,"male",51,2,0,4,4,1,4,3,0.3971,-0.1712,0.7157,0.5953,0.6232,0.6354,"incompf","incompf",7,7,7,3,3,3,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",0.131214108420971,1.41802501620425,1,1,1,0.3971,3,1.00274462689058,1.7151440876322
"171",407,"male",42,4,4,4,4,4,4,0,0.6289,0.0654,1.2709,0.7851,1.1671,0.3203,"incompf","compf",4,4,4,0,0,0,"luup_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.619927965903654,-0.36811033152029,0,0,0,0.6289,0,1.41412243845326,0.210347859803949
"172",408,"male",39,3,3,3,3,3,3,0,0.4346,0.003,0.7299,0.2094,0.0772,0.4461,"incompf","incompf",4,4,4,0,0,0,"luup_w","they were paired with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",-0.862435404764315,-0.36811033152029,0,0,0,0.4346,0,1.06929625732026,0.210347859803949
"173",410,"female",28,3,3,4,4,3,4,1,0.4118,0.5081,0.2547,0.6828,0.8064,0.5954,"compf","incompf",5,5,5,1,1,1,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",0.356516861475422,0.227268117721222,1,1,1,0.4118,1,1.02883286601902,0.711946602413365
"174",411,"male",33,4,4,4,4,4,4,0,0.7534,0.701,0.7758,0.6081,0.9789,0.3203,"incompf","compf",4,4,4,0,0,0,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",0.164172682582079,-0.36811033152029,1,1,1,0.7534,0,1.6350738514798,0.210347859803949
"175",413,"female",36,2,3,3,3,2.5,3,0.5,-0.6148,-0.781,-0.4641,1.1578,1.3036,1.0272,"compf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",1.5795889494853,-0.0704211068995337,1,1,1,-0.6148,-3,-0.793084568623963,-1.2944483680243
"176",416,"female",36,4,4,4,4,4,4,0,-0.3927,-0.4758,-0.3212,0.691,0.6883,0.7881,"incompf","incompf",4,4,4,0,0,0,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.377630948047382,-0.36811033152029,1,1,1,-0.3927,0,-0.398921445465765,0.210347859803949
"177",418,"male",47,4,4,4,4,4,4,0,0.956,0.9322,0.9784,0.0887,-0.0308,0.1636,"compf","incompf",5,5,5,1,1,1,"niff_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-1.17322445954914,-0.36811033152029,1,1,1,0.956,1,1.99463012681457,0.711946602413365
"178",421,"male",37,4,4,4,4,4,4,0,0.5695,0.6478,0.3832,-0.1535,-0.556,0.0527,"compf","compf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-1.79686248000386,-0.36811033152029,1,1,1,0.5695,-3,1.30870465585264,-1.2944483680243
"179",422,"female",23,4,4,3,3,4,3,-1,-0.2842,-0.4658,-0.1852,0.6676,0.3462,0.9346,"compf","incompf",4,4,4,0,0,0,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",0.317378554659106,-0.963488780761801,0,0,0,-0.2842,0,-0.206365394755885,0.210347859803949
"180",428,"male",42,4,4,4,4,4,4,0,0.4212,-0.0532,0.8363,0.9531,1.0969,0.8889,"incompf","incompf",4,4,4,0,0,0,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",1.0525092517682,-0.36811033152029,0,0,0,0.4212,0,1.04551514138006,0.210347859803949
"181",429,"female",22,4,4,4,4,4,4,0,-0.2219,-0.1699,-0.2723,0.2194,0.1963,0.1972,"compf","compf",7,7,7,3,3,3,"luup_w","they were paired with Luupites names","they were paired with Niffites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-0.836686518700949,-0.36811033152029,0,0,0,-0.2219,3,-0.0958009527353726,1.7151440876322
"182",430,"male",35,4,0,-4,0,2,-2,-4,0.346,0.2124,0.4069,0.0443,0.0429,0.0548,"compf","incompf",1,1,1,-3,-3,-3,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","compf",-1.28754951367048,-2.74962412848634,0,0,0,0.346,-3,0.912056938491735,-1.2944483680243
"183",431,"male",25,3,3,2,2,3,2,-1,0.4495,0.1539,0.7146,0.6637,0.8788,0.3896,"incompf","compf",4,7,5.5,0,3,1.5,"luup_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.307336489094393,-0.963488780761801,0,0,0,0.4495,1.5,1.09573943847766,0.962745973718073
"184",432,"male",32,4,4,4,4,4,4,0,-0.6456,-0.4705,-0.7997,0.8116,0.8553,0.7672,"incompf","incompf",7,6,6.5,3,2,2.5,"luup_w","they were paired with Luupites names","they were paired with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"luup_w","incompf",0.688162513971574,-0.36811033152029,1,0,0,-0.6456,2.5,-0.847745641083542,1.46434471632749
"185",433,"male",46,3,3,1,1,3,1,-2,0.157,0.2366,0.1132,-0.8156,-0.8906,-0.7566,"compf","compf",4,4,4,0,0,0,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","compf",-3.50169622625931,-1.55886723000331,0,0,0,0.157,0,0.576636721126136,0.210347859803949
"186",435,"female",24,3,3,3,3,3,3,0,-0.254,-0.3622,-0.3251,0.6965,0.8347,0.5758,"incompf","compf",2,2,2,-2,-2,-2,"niff_w","they were paired with Niffites names and with Luupites names","they were paired with Niffites names and with Luupites names",1,1,TRUE,2,TRUE,2,TRUE,"niff_w","incompf",0.391792835382233,-0.36811033152029,0,0,0,-0.254,-2,-0.152769148383181,-0.792849625414884
