subject,date,time,age,gender,like,positive,prefer,mean_evaluation,AMP_score,proportion_fast_trials_amp,exclude_amp_performance,exclude_amp_completeness,exclude_duplicate_data,exclude_participant
548957868,23.06.2022,10:46:30,23,other/missing/error,NA,NA,NA,NA,NA,NA,NA,NA,include,exclude
504546409,23.06.2022,11:54:55,other/missing/error,other/missing/error,NA,NA,NA,NA,0.375,0,include,exclude,include,exclude
994692692,23.06.2022,12:23:32,21,female,2,1,1,1.3333333333333333,0.8055555555555557,0,include,include,include,include
246532124,23.06.2022,12:27:58,23,male,4,NA,NA,4,0.5486111111111112,0.006944444444444444,include,exclude,exclude,exclude
246532124,23.06.2022,12:32:30,23,male,4,NA,NA,4,0.5486111111111112,0.006944444444444444,include,exclude,exclude,exclude
902223169,23.06.2022,12:33:36,19,female,3,3,2,2.6666666666666665,0.5694444444444444,0,include,include,include,include
469672453,23.06.2022,12:35:04,27,male,2,1,1,1.3333333333333333,0.25,0,include,include,include,include
637089700,23.06.2022,13:35:40,43,male,2,2,2,2,0.5,0,include,include,include,include
4345805,23.06.2022,12:37:12,54,male,2,4,3,3,0.36111111111111105,0.041666666666666664,include,include,include,include
786441188,23.06.2022,13:37:07,27,female,1,1,3,1.6666666666666667,0.7638888888888888,0,include,include,include,include
510787584,23.06.2022,12:41:56,34,female,4,4,4,4,0.5138888888888888,0.013888888888888888,include,include,include,include
684265529,23.06.2022,12:40:13,19,nonbinary,1,1,1,1,0.5416666666666666,0,include,include,include,include
47022865,23.06.2022,04:40:06,21,male,1,1,1,1,0.4722222222222222,0,include,include,include,include
199802590,23.06.2022,07:39:25,27,male,6,6,5,5.666666666666667,0.5277777777777778,0,include,include,include,include
295696078,23.06.2022,12:44:55,32,male,1,1,1,1,0.5416666666666667,0,include,include,include,include
32034696,23.06.2022,12:45:45,38,male,1,2,1,1.3333333333333333,0.625,0,include,include,include,include
609227927,23.06.2022,12:47:56,18,male,NA,NA,NA,NA,0.9861111111111112,0.05555555555555555,include,include,include,exclude
59367911,23.06.2022,12:49:07,47,female,1,1,1,1,0.48611111111111105,0,include,include,include,include
386661197,23.06.2022,12:50:11,46,male,2,4,1,2.3333333333333335,0.4444444444444443,0,include,include,include,include
238678139,23.06.2022,12:50:09,38,female,1,1,1,1,0.6527777777777778,0,include,include,include,include
764499289,23.06.2022,12:50:44,52,male,1,2,2,1.6666666666666667,0.5555555555555556,0,include,include,include,include
586346915,23.06.2022,12:51:54,36,female,1,1,1,1,0.5416666666666667,0,include,include,include,include
100125154,23.06.2022,12:53:17,29,male,3,1,3,2.3333333333333335,0.5138888888888888,0,include,include,include,include
550721671,23.06.2022,13:02:07,28,female,1,1,1,1,0.5277777777777779,0,include,include,include,include
161234436,23.06.2022,12:56:16,25,male,7,7,6,6.666666666666667,0.5694444444444444,0.1111111111111111,exclude,include,include,exclude
621686155,23.06.2022,12:56:11,42,female,1,1,1,1,0.5138888888888888,0,include,include,include,include
238079276,23.06.2022,12:56:44,28,female,1,2,2,1.6666666666666667,0.5416666666666667,0,include,include,include,include
561842983,23.06.2022,13:56:05,23,female,1,1,1,1,0.9444444444444444,0,include,include,include,include
627537443,23.06.2022,07:56:58,27,female,1,1,1,1,0.6805555555555557,0,include,include,include,include
591041139,23.06.2022,12:57:32,29,nonbinary,3,4,4,3.6666666666666665,0.6111111111111112,0,include,include,include,include
601833546,23.06.2022,12:59:08,34,male,2,2,5,3,0.5,0,include,include,include,include
874662429,23.06.2022,12:59:47,36,male,3,3,3,3,0.5277777777777778,0,include,include,include,include
658421880,23.06.2022,12:58:27,53,female,1,1,1,1,0.5138888888888888,0,include,include,include,include
557207580,23.06.2022,12:59:53,28,female,1,1,1,1,0.5555555555555556,0,include,include,include,include
13708908,23.06.2022,12:59:49,25,male,1,1,1,1,0.5555555555555556,0,include,include,include,include
699441423,23.06.2022,12:59:34,48,male,1,1,1,1,0.9861111111111112,0,include,include,include,include
841303698,23.06.2022,13:00:51,19,female,1,1,1,1,0.5833333333333333,0,include,include,include,include
881713870,23.06.2022,13:01:06,25,nonbinary,5,6,5,5.333333333333333,0.4861111111111111,0,include,include,include,include
663795436,23.06.2022,21:31:26,39,female,1,1,1,1,0.5277777777777778,0,include,include,include,include
422087765,23.06.2022,13:01:18,45,female,1,1,1,1,0.48611111111111105,0,include,include,include,include
343944905,23.06.2022,13:01:49,31,male,5,4,5,4.666666666666667,0.5277777777777779,0.3194444444444444,exclude,include,include,exclude
920212493,23.06.2022,13:01:55,61,male,2,1,1,1.3333333333333333,0.8611111111111112,0,include,include,include,include
526570034,23.06.2022,05:02:01,63,male,1,1,1,1,0.6111111111111112,0,include,include,include,include
882246022,23.06.2022,13:02:18,61,male,1,1,1,1,0.5277777777777779,0,include,include,include,include
904883244,23.06.2022,13:02:39,59,male,1,1,1,1,0.6111111111111112,0,include,include,include,include
293831276,23.06.2022,13:02:35,60,female,1,1,1,1,0.06944444444444445,0,include,include,include,include
530863876,23.06.2022,13:03:27,42,male,3,2,3,2.6666666666666665,0.4305555555555556,0,include,include,include,include
753565148,23.06.2022,13:03:35,26,female,1,1,1,1,0.5555555555555556,0,include,include,include,include
727031797,23.06.2022,13:03:52,27,male,1,1,1,1,0.7361111111111112,0.05555555555555555,include,include,include,include
751712225,23.06.2022,05:04:43,22,female,1,1,1,1,0.5,0,include,include,include,include
464934738,23.06.2022,13:04:21,21,male,2,2,2,2,0.48611111111111105,0.08333333333333333,include,include,include,include
563522777,23.06.2022,13:04:26,53,male,3,3,2,2.6666666666666665,0.5,0.08333333333333333,include,include,include,include
373740279,23.06.2022,13:04:43,51,female,NA,NA,NA,NA,0.625,0,include,include,include,exclude
589607780,23.06.2022,13:04:19,35,female,1,1,1,1,0.48611111111111105,0,include,include,include,include
681045009,23.06.2022,13:06:04,26,male,NA,NA,NA,NA,0.9583333333333334,0.041666666666666664,include,include,include,exclude
855399085,23.06.2022,13:05:59,32,female,NA,NA,NA,NA,0,0,include,include,include,exclude
821599197,23.06.2022,13:06:53,45,female,NA,NA,NA,NA,0.36111111111111105,0,include,include,include,exclude
311497290,23.06.2022,08:07:14,48,male,NA,NA,NA,NA,0.29166666666666663,0,include,include,include,exclude
254118946,23.06.2022,13:07:30,64,female,NA,NA,NA,NA,0.45833333333333337,0,include,include,include,exclude
317124448,23.06.2022,13:08:00,36,female,NA,NA,NA,NA,0.875,0,include,include,include,exclude
730068356,23.06.2022,13:06:52,51,female,NA,NA,NA,NA,0.9444444444444444,0,include,include,include,exclude
236383059,23.06.2022,13:08:32,37,male,NA,NA,NA,NA,0.48611111111111105,0,include,include,include,exclude
246374429,23.06.2022,13:08:08,21,female,NA,NA,NA,NA,0.5,0,include,include,include,exclude
952386283,23.06.2022,13:09:25,26,female,NA,NA,NA,NA,0.5277777777777778,0,include,include,include,exclude
694264273,23.06.2022,13:09:41,31,male,NA,NA,NA,NA,0.5972222222222222,0,include,include,include,exclude
175188025,23.06.2022,13:10:53,42,male,NA,NA,NA,NA,0.8194444444444444,0,include,include,include,exclude
339232704,23.06.2022,13:10:40,31,male,NA,NA,NA,NA,0.7777777777777778,0,include,include,include,exclude
386456897,23.06.2022,14:11:15,23,male,NA,NA,NA,NA,0.6666666666666666,0,include,exclude,include,exclude
637668138,23.06.2022,13:11:28,30,other/missing/error,NA,NA,NA,NA,0.5,0.013888888888888888,include,include,include,exclude
494447594,NA,NA,NA,NA,1,1,1,1,0.875,0,include,include,include,exclude
72442795,NA,NA,NA,NA,NA,NA,NA,NA,0.9444444444444444,0,include,include,include,exclude
196574198,NA,NA,NA,NA,NA,NA,NA,NA,0.8888888888888888,0,include,include,include,exclude
216287717,NA,NA,NA,NA,NA,NA,NA,NA,0.5277777777777778,0,include,include,include,exclude
233735378,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,include,include,include,exclude
237498336,NA,NA,NA,NA,NA,NA,NA,NA,0.5833333333333334,0,include,include,include,exclude
247697997,NA,NA,NA,NA,NA,NA,NA,NA,0.625,0,include,include,include,exclude
325830955,NA,NA,NA,NA,NA,NA,NA,NA,0.5694444444444444,0.027777777777777776,include,include,include,exclude
477618299,NA,NA,NA,NA,NA,NA,NA,NA,0.6388888888888888,0,include,include,include,exclude
564734227,NA,NA,NA,NA,NA,NA,NA,NA,0.375,0.1527777777777778,exclude,include,include,exclude
631750145,NA,NA,NA,NA,NA,NA,NA,NA,0.5138888888888888,0.125,exclude,include,include,exclude
692009266,NA,NA,NA,NA,NA,NA,NA,NA,0.5416666666666666,0,include,include,include,exclude
797453632,NA,NA,NA,NA,NA,NA,NA,NA,0.5833333333333334,0.013888888888888888,include,include,include,exclude
867476338,NA,NA,NA,NA,NA,NA,NA,NA,0.47222222222222215,0,include,include,include,exclude
954130481,NA,NA,NA,NA,NA,NA,NA,NA,0.5138888888888888,0,include,include,include,exclude
965314508,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,include,include,include,exclude
